followers_count,following_count,tweet_count,days_antiquity,description_length,username_digits,class
18.0,93.0,44.0,1969.0,11.0,0.0,0
34.0,719.0,1233.0,3961.0,,2.0,0
27.0,173.0,7868.0,5038.0,,0.0,0
385.0,660.0,52524.0,3961.0,110.0,0.0,0
230.0,749.0,28569.0,3960.0,,3.0,0
51.0,102.0,525.0,1954.0,21.0,8.0,0
13443.0,8513.0,82854.0,1953.0,69.0,0.0,0
180.0,837.0,81484.0,1951.0,18.0,0.0,0
6.0,38.0,348.0,1951.0,23.0,0.0,0
95.0,171.0,6751.0,3959.0,,8.0,0
133.0,270.0,11853.0,1949.0,,8.0,0
16.0,156.0,337.0,1948.0,112.0,0.0,0
64.0,144.0,34453.0,3959.0,138.0,0.0,0
253.0,532.0,20175.0,1945.0,75.0,8.0,0
240.0,890.0,5483.0,3958.0,150.0,0.0,0
97.0,760.0,3042.0,5036.0,69.0,0.0,0
234.0,290.0,7672.0,3958.0,111.0,3.0,0
224.0,71.0,26609.0,3957.0,,0.0,0
3.0,63.0,1705.0,1935.0,16.0,8.0,0
52.0,244.0,6754.0,5033.0,,0.0,0
91.0,326.0,8225.0,1927.0,19.0,4.0,0
212.0,826.0,15905.0,3955.0,101.0,4.0,0
2143.0,2305.0,10653.0,1925.0,33.0,4.0,0
133.0,74.0,2294.0,1922.0,49.0,0.0,0
68.0,823.0,28915.0,1922.0,2.0,0.0,0
173.0,357.0,1907.0,5033.0,25.0,3.0,0
227.0,483.0,7533.0,1920.0,140.0,2.0,0
2185.0,553.0,675.0,1920.0,143.0,1.0,0
159.0,853.0,4051.0,1917.0,94.0,0.0,0
135.0,511.0,6323.0,5032.0,,0.0,0
292.0,517.0,2879.0,5032.0,25.0,0.0,0
62.0,86.0,842.0,1915.0,28.0,2.0,0
11.0,99.0,94.0,1906.0,53.0,0.0,0
141.0,661.0,6887.0,3952.0,11.0,0.0,0
23.0,50.0,2556.0,1904.0,,8.0,0
185.0,951.0,3375.0,1903.0,,0.0,0
59.0,190.0,3366.0,3951.0,,4.0,0
476.0,731.0,14600.0,1896.0,41.0,0.0,0
938.0,2497.0,6234.0,1896.0,119.0,0.0,0
225.0,1372.0,47943.0,5029.0,,3.0,0
295.0,211.0,13792.0,1888.0,45.0,0.0,0
15.0,94.0,436.0,1886.0,,0.0,0
13.0,89.0,263.0,1884.0,,2.0,0
24.0,306.0,1000.0,1882.0,,8.0,0
79.0,177.0,3603.0,1878.0,1.0,1.0,0
84.0,330.0,13526.0,3947.0,,0.0,0
177.0,310.0,6948.0,1875.0,40.0,1.0,0
863.0,372.0,88906.0,1874.0,139.0,2.0,0
121.0,203.0,46.0,3946.0,24.0,0.0,0
340.0,1450.0,18773.0,3945.0,,0.0,0
50.0,289.0,2727.0,1865.0,20.0,8.0,0
231.0,205.0,4713.0,1862.0,134.0,0.0,0
